TH|0.0356
HE|0.0307
IN|0.0243
ER|0.0205
AN|0.0199
RE|0.0185
ON|0.0176
AT|0.0149
EN|0.0145
ND|0.0135
TI|0.0134
ES|0.0134
OR|0.0128
TE|0.0120
OF|0.0117
ED|0.0117
IS|0.0113
IT|0.0112
AL|0.0109
AR|0.0107
ST|0.0105
TO|0.0104
NT|0.0104
NG|0.0095
SE|0.0093
HA|0.0093
AS|0.0087
OU|0.0087
IO|0.0083
LE|0.0083
VE|0.0083
CO|0.0079
ME|0.0079
DE|0.0076
HI|0.0076
RI|0.0073
RO|0.0073
IC|0.0070
NE|0.0069
EA|0.0069
RA|0.0069
CE|0.0065
LI|0.0062
CH|0.0060
LL|0.0058
BE|0.0058
MA|0.0057
SI|0.0055
OM|0.0055
UR|0.0054
OTHER|0.4435
